Regiao,UF,Estado,Governador,TotalCasos,TotalObitos
Norte,RO,Rondônia,MARCOS JOSE ROCHA DOS SANTOS,130772,2680
Norte,AC,Acre,GLADSON DE LIMA CAMELI,55770,1314
Norte,AM,Amazonas,WILSON MIRANDA LIMA,273416,8062
Norte,RR,Roraima,ANTONIO OLIVERIO GARCIA DE ALMEIDA,99936,1274
Norte,PA,Pará,HELDER ZAHLUTH BARBALHO,456136,13102
Norte,AP,Amapá,ANTONIO WALDEZ GÓES DA SILVA,95870,1408
Norte,TO,Tocantins,MAURO CARLESSE,133730,1844
Nordeste,MA,Maranhão,FLÁVIO DINO DE CASTRO E COSTA,344352,7470
Nordeste,PI,Piauí,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,189466,4202
Nordeste,CE,Ceará,CAMILO SOBREIRA DE SANTANA,478124,17842
Nordeste,RN,Rio Grande do Norte,MARIA DE FATIMA BEZERRA,137530,4754
Nordeste,PB,Paraíba,JOÃO AZEVEDO LINS FILHO,239974,5608
Nordeste,PE,Pernambuco,PAULO HENRIQUE SARAIVA CÂMARA,290192,16380
Nordeste,AL,Alagoas,JOSE RENAN VASCONCELOS CALHEIROS FILHO,172786,4124
Nordeste,SE,Sergipe,BELIVALDO CHAGAS SILVA,154344,4050
Nordeste,BA,Bahia,RUI COSTA DOS SANTOS,613258,13296
Sudeste,MG,Minas Gerais,ROMEU ZEMA NETO,580274,14480
Sudeste,ES,Espírito Santo,JOSE RENATO CASAGRANDE,259592,7048
Sudeste,RJ,Rio de Janeiro,WILSON JOSÉ WITZEL,524012,36582
Sudeste,SP,São Paulo,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,1946284,70250
Sul,PR,Paraná,CARLOS ROBERTO MASSA JUNIOR,351964,8756
Sul,SC,Santa Catarina,CARLOS MOISÉS DA SILVA,426132,5530
Sul,RS,Rio Grande do Sul,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,371556,9296
Centro-Oeste,MS,Mato Grosso do Sul,REINALDO AZAMBUJA SILVA,136650,2556
Centro-Oeste,MT,Mato Grosso,MAURO MENDES FERREIRA,242290,6744
Centro-Oeste,GO,Goiás,RONALDO RAMOS CAIADO,405508,9058
Centro-Oeste,DF,Distrito Federal,IBANEIS ROCHA BARROS JUNIOR,381010,6406
